ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK2,114,0.03512,0.25926,0.06186,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,115,0.08478,0.25758,0.12757,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,116,0.04527,0.33333,0.07971,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,117,0.08259,0.18889,0.11493,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,118,0.02497,0.33333,0.04646,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,119,0.00538,0.06667,0.00995,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,120,0.0883,0.14621,0.1101,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,121,0.06547,0.16429,0.09363,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,122,0.03956,0.22222,0.06717,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,123,0.08955,0.33333,0.14118,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,124,0.05504,0.28205,0.09211,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,125,0.01992,0.11111,0.03379,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,126,0.16738,0.35133,0.22673,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,127,0.14334,0.23403,0.17779,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,128,0.14839,0.26814,0.19105,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,129,0.12753,0.28889,0.17695,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,130,0.18351,0.29365,0.22587,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,131,0.01043,0.07407,0.01828,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,132,0.12879,0.28889,0.17816,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,133,0.08478,0.12319,0.10044,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,134,0.13258,0.33025,0.18921,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,135,0.02974,0.16667,0.05048,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,136,0.12435,0.1634,0.14122,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,137,0.07501,0.35714,0.12398,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,138,0.05504,0.22917,0.08876,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,139,0.02025,0.07843,0.03219,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,140,0.07468,0.45455,0.12829,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,141,0.1323,0.3913,0.19775,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,142,0.03451,0.15556,0.05649,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,143,0.00982,0.07407,0.01734,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,144,0.00889,0.11111,0.01646,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,145,0.05569,0.22181,0.08903,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,146,0.18921,0.20106,0.19495,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,147,0.10003,0.26154,0.14471,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,148,0.06458,0.14229,0.08884,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,149,0.05032,0.14881,0.0752,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,150,0.07594,0.19231,0.10888,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,151,0.10447,0.4375,0.16867,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,152,0.07056,0.27451,0.11227,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,153,0.0563,0.1746,0.08514,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,154,0.09554,0.28788,0.14346,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,155,0.06486,0.12473,0.08534,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,156,0.04175,0.20513,0.06938,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,157,0.13131,0.19259,0.15615,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,158,0.02469,0.11111,0.04041,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,159,0.16521,0.13509,0.14864,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,160,0.10349,0.25926,0.14793,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,161,0.06393,0.39394,0.11001,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,162,0.15914,0.22695,0.18709,3
